experiment_id,bank_condition,query_id,query_version,baseline_avg_state_alignment,baseline_min_state_alignment,baseline_misaligned_count,baseline_retrieved_count,sacr_avg_state_alignment,sacr_min_state_alignment,sacr_misaligned_count,sacr_retrieved_count,alignment_improvement,misalignment_reduction,baseline_shift_drop,sacr_shift_drop
RQ1_20260914T175757Z,normal,Q010,base,0.7616183315431435,0.6588256355173648,3,5,0.8796813462226994,0.7870748299319728,0,5,0.11806301467955593,3,,
RQ1_20260914T175757Z,normal,Q010,shifted,0.7540995345506624,0.6513068385248836,3,5,0.8721625492302183,0.7795560329394916,0,5,0.11806301467955593,3,0.007518796992481147,0.007518796992481147
RQ1_20260914T175757Z,normal,Q011,base,0.8557429287504474,0.7047619047619048,0,5,0.8557429287504474,0.7047619047619048,0,5,0.0,0,,
RQ1_20260914T175757Z,normal,Q011,shifted,0.8728857858933047,0.6761904761904762,1,5,0.9071715001790188,0.8310955961331901,0,5,0.03428571428571414,1,-0.017142857142857237,-0.05142857142857138
RQ1_20260914T175757Z,normal,Q012,base,0.7808163265306123,0.6755102040816326,2,5,0.8480272108843538,0.7142857142857143,0,5,0.06721088435374156,2,,
RQ1_20260914T175757Z,normal,Q012,shifted,0.7522448979591837,0.6755102040816326,3,5,0.8194557823129252,0.7142857142857143,0,5,0.06721088435374145,3,0.02857142857142858,0.028571428571428692
RQ1_20260914T175757Z,normal,Q013,base,0.8076190476190476,0.6666666666666667,2,5,0.9047619047619048,0.8380952380952381,0,5,0.0971428571428572,2,,
RQ1_20260914T175757Z,normal,Q013,shifted,0.7592839240959542,0.6183315431435733,2,5,0.8564267812388113,0.7897601145721447,0,5,0.09714285714285709,2,0.048335123523093326,0.04833512352309344
RQ1_20260914T175757Z,normal,Q014,base,0.7571356963838167,0.6511815252416756,3,5,0.8703329752953813,0.7940386680988185,0,5,0.11319727891156461,3,,
RQ1_20260914T175757Z,normal,Q014,shifted,0.750060866451844,0.640297171500179,3,5,0.8708771929824562,0.7926781238811315,0,5,0.12081632653061225,3,0.007074829931972726,-0.0005442176870749105
RQ1_20260914T175757Z,normal,Q015,base,0.7838095238095238,0.682312925170068,2,5,0.8028571428571428,0.7142857142857143,0,5,0.01904761904761898,2,,
RQ1_20260914T175757Z,normal,Q015,shifted,0.8082993197278912,0.6414965986394557,1,5,0.8760544217687075,0.7585034013605443,0,5,0.06775510204081636,1,-0.024489795918367308,-0.07319727891156469
RQ1_20260914T175757Z,normal,Q016,base,0.8438739706408878,0.5559434300035804,1,5,0.8726530612244898,0.8122448979591838,0,5,0.028779090583602063,1,,
RQ1_20260914T175757Z,normal,Q016,shifted,0.7235732187611887,0.5521840315073397,2,5,0.8093519513068387,0.7067669172932332,0,5,0.08577873254564994,2,0.12030075187969902,0.06330110991765114
RQ1_20260914T175757Z,normal,Q017,base,0.7941818832796276,0.697278911564626,2,5,0.8430576441102758,0.8020408163265307,0,5,0.04887576083064826,2,,
RQ1_20260914T175757Z,normal,Q017,shifted,0.7628893662728249,0.625170068027211,2,5,0.8357107053347654,0.7877551020408163,0,5,0.07282133906194055,2,0.03129251700680269,0.007346938775510403
RQ1_20260914T175757Z,normal,Q018,base,0.8476190476190476,0.6666666666666667,1,5,0.8722448979591837,0.7993197278911566,0,5,0.02462585034013609,1,,
RQ1_20260914T175757Z,normal,Q018,shifted,0.8649122807017544,0.7030075187969924,0,5,0.8647762262799856,0.7030075187969924,0,5,-0.00013605442176878313,0,-0.017293233082706805,0.007468671679198069
