experiment_id,bank_condition,query_id,query_version,baseline_avg_state_alignment,baseline_min_state_alignment,baseline_misaligned_count,baseline_retrieved_count,sacr_avg_state_alignment,sacr_min_state_alignment,sacr_misaligned_count,sacr_retrieved_count,alignment_improvement,misalignment_reduction,baseline_shift_drop,sacr_shift_drop
RQ1_20260914T175757Z,shuffled,Q009,base,0.7903401360544218,0.672108843537415,1,5,0.8208163265306123,0.7047619047619048,0,5,0.030476190476190546,1,,
RQ1_20260914T175757Z,shuffled,Q009,shifted,0.7631292517006802,0.6448979591836734,2,5,0.8175510204081633,0.7782312925170068,0,5,0.054421768707483054,2,0.027210884353741527,0.0032653061224490187
RQ1_20260914T175757Z,shuffled,Q010,base,0.7087576083064805,0.6622269960615826,3,5,0.752703186537773,0.7037235947010384,0,5,0.043945578231292526,3,,
RQ1_20260914T175757Z,shuffled,Q010,shifted,0.7012388113139993,0.6547081990691013,3,5,0.7941639813820265,0.7030075187969924,0,5,0.09292517006802714,3,0.007518796992481147,-0.04146079484425347
RQ1_20260914T175757Z,shuffled,Q011,base,0.7820408163265306,0.5714285714285714,1,5,0.8620408163265306,0.7047619047619048,0,5,0.08000000000000007,1,,
RQ1_20260914T175757Z,shuffled,Q011,shifted,0.7839455782312925,0.5428571428571428,2,5,0.9001360544217688,0.819047619047619,0,5,0.11619047619047629,2,-0.0019047619047619646,-0.03809523809523818
RQ1_20260914T175757Z,shuffled,Q012,base,0.7989115646258504,0.6952380952380953,1,5,0.8643537414965987,0.8176870748299321,0,5,0.06544217687074827,1,,
RQ1_20260914T175757Z,shuffled,Q012,shifted,0.7989115646258504,0.6952380952380953,1,5,0.83578231292517,0.8176870748299321,0,5,0.03687074829931958,1,0.0,0.028571428571428692
RQ1_20260914T175757Z,shuffled,Q013,base,0.6400644468313641,0.5333333333333333,5,5,0.781360544217687,0.7047619047619048,0,5,0.14129609738632287,5,,
RQ1_20260914T175757Z,shuffled,Q013,shifted,0.6041174364482635,0.4849982098102399,5,5,0.7757465091299679,0.7611886860007162,0,5,0.17162907268170435,5,0.03594701038310055,0.0056140350877190714
