experiment_id,query_id,query_version,baseline_avg_state_alignment,baseline_min_state_alignment,baseline_misaligned_count,sacr_avg_state_alignment,sacr_min_state_alignment,sacr_misaligned_count,alignment_improvement,misalignment_reduction,baseline_shift_drop,sacr_shift_drop
RQ1_20260914T151643Z,Q008,base,0.9123666308628715,0.8280522735409954,0,0.8549910490511996,0.8185284640171859,0,-0.057375581811671905,0,,
RQ1_20260914T151643Z,Q008,shifted,0.9703651987110635,0.9647869674185464,0,0.9427461510920156,0.8321339061940566,0,-0.027619047619047876,0,-0.05799856784819202,-0.08775510204081605
RQ1_20260914T151643Z,Q009,base,0.9690046544933765,0.9559434300035804,0,0.9143107769423559,0.8253311851056212,0,-0.05469387755102062,0,,
RQ1_20260914T151643Z,Q009,shifted,0.9456032939491585,0.931453634085213,0,0.8870998925886144,0.7981203007518797,0,-0.058503401360544105,0,0.02340136054421793,0.027210884353741416
RQ1_20260914T151643Z,Q010,base,0.9676047261009666,0.9499820981023989,0,0.9056283566058001,0.8166487647690656,0,-0.061976369495166495,0,,
RQ1_20260914T151643Z,Q010,shifted,0.9595417114214108,0.9424633011099177,0,0.8981095596133191,0.8091299677765844,0,-0.061432151808091695,0,0.008063014679555836,0.007518796992481036
RQ1_20260914T151643Z,Q011,base,0.9578481919083423,0.9457393483709273,0,0.9212173290368779,0.7994808449695668,0,-0.03663086287146433,0,,
RQ1_20260914T151643Z,Q011,shifted,0.9663873970640889,0.9423379878267096,0,0.9094128177586824,0.8090046544933764,0,-0.0569745793054065,0,-0.008539205155746687,0.011804511278195484
RQ1_20260914T151643Z,Q012,base,0.9334622269960615,0.8253311851056212,0,0.8830182599355532,0.8253311851056212,0,-0.050443967060508355,0,,
RQ1_20260914T151643Z,Q012,shifted,0.8790404582885787,0.8226100966702471,0,0.8563515932688865,0.8280522735409954,0,-0.02268886501969214,0,0.05442176870748283,0.026666666666666616
RQ1_20260914T151643Z,Q013,base,0.9874829931972791,0.9741496598639456,0,0.9278911564625851,0.8408163265306123,0,-0.059591836734693926,0,,
RQ1_20260914T151643Z,Q013,shifted,0.94343716433942,0.9258145363408522,0,0.8814607948442535,0.7924812030075189,0,-0.061976369495166495,0,0.044045828857859015,0.046430361618331584
RQ1_20260914T151643Z,Q014,base,0.948732545649839,0.9266917293233083,0,0.8773039742212674,0.7872359470103831,0,-0.07142857142857162,0,,
RQ1_20260914T151643Z,Q014,shifted,0.9541424991049052,0.928732545649839,0,0.9183601861797352,0.8144468313641247,0,-0.03578231292516998,0,-0.00540995345506623,-0.04105621195846787
RQ1_20260914T151643Z,Q015,base,0.8951271034729681,0.6988005728607233,1,0.8434264232008593,0.7056032939491585,0,-0.051700680272108834,1,,
RQ1_20260914T151643Z,Q015,shifted,0.9456032939491585,0.931453634085213,0,0.8870998925886144,0.7981203007518797,0,-0.058503401360544105,0,-0.05047619047619045,-0.04367346938775518
RQ1_20260914T151643Z,Q016,base,0.8552953813104189,0.680952380952381,1,0.8568707482993199,0.8204081632653063,0,0.001575366988900928,1,,
RQ1_20260914T151643Z,Q016,shifted,0.9375152166129611,0.8264948084496958,0,0.9371070533476551,0.8264948084496958,0,-0.0004081632653060163,0,-0.08221983530254218,-0.08023630504833523
RQ1_20260914T151643Z,Q017,base,0.966795560329395,0.9482993197278912,0,0.8963515932688866,0.803562477622628,0,-0.07044396706050837,0,,
RQ1_20260914T151643Z,Q017,shifted,0.9459792337987827,0.9219298245614035,0,0.8890046544933764,0.7885964912280701,0,-0.05697457930540628,0,0.020816326530612272,0.007346938775510181
RQ1_20260914T151643Z,Q018,base,0.9444897959183676,0.9285714285714287,0,0.8751020408163267,0.7823129251700681,0,-0.06938775510204087,0,,
RQ1_20260914T151643Z,Q018,shifted,0.9614464733261727,0.9329394915861081,0,0.9266809881847475,0.8186537773003939,0,-0.03476548514142519,0,-0.016956677407805154,-0.051578947368420835
RQ1_20260914T151643Z,Q019,base,0.8858431793770141,0.8294128177586825,0,0.8617937701396349,0.8321339061940566,0,-0.024049409237379193,0,,
RQ1_20260914T151643Z,Q019,shifted,0.9494128177586825,0.9355352667382743,0,0.9202649480844972,0.8049230218403152,0,-0.029147869674185256,0,-0.0635696383816684,-0.05847117794486234
RQ1_20260914T151643Z,Q020,base,0.8366237021124239,0.67703186537773,1,0.889140708915145,0.7899570354457573,0,0.05251700680272109,1,,
RQ1_20260914T151643Z,Q020,shifted,0.9267955603293949,0.82124955245256,0,0.9204332259219477,0.82124955245256,0,-0.006362334407447268,0,-0.09017185821697105,-0.03129251700680269
